id,State,Cropland,Grassland pasture and range ,Forest-use land,Special-use areas,Urban areas ,Miscellaneous other land
0,  Alabama, 8.66 , 8.92 , 70.34 , 4.54 , 4.53 , 3.01 
1,  Alaska, 0.02 , 0.19 , 25.14 , 40.03 , 0.05 , 34.57 
2,  Arizona, 1.56 , 59.94 , 17.88 , 16.40 , 2.01 , 2.20 
3,  Arkansas, 24.73 , 12.39 , 55.68 , 4.54 , 2.18 , 0.47 
4,  California, 9.61 , 26.75 , 17.04 , 24.97 , 5.32 , 16.32 
5,  Colorado, 16.08 , 47.84 , 22.82 , 11.24 , 1.53 , 0.49 
6,  Connecticut, 3.95 , 0.71 , 43.44 , 10.99 , 38.01 , 2.91 
7,  Delaware, 35.10 , 1.47 , 26.54 , 11.43 , 21.95 , 3.50 
8,  District of Columbia,0.00 ,0.00 ,0.00 ,0.00 , 100.00 ,0.00 
9,  Florida, 8.26 , 14.86 , 46.12 , 14.97 , 14.28 , 1.52 
10,  Georgia, 11.91 , 4.57 , 66.16 , 5.29 , 8.71 , 3.36 
11,  Hawaii, 9.05 , 18.73 , 31.60 , 24.08 , 6.24 , 10.30 
12,  Idaho, 10.97 , 34.77 , 31.71 , 12.37 , 0.63 , 9.56 
13,  Illinois, 67.36 , 4.86 , 13.43 , 6.38 , 7.24 , 0.72 
14,  Indiana, 55.43 , 7.22 , 20.71 , 5.32 , 7.23 , 4.09 
15,  Iowa, 74.73 , 8.05 , 8.30 , 5.46 , 1.76 , 1.70 
16,  Kansas, 54.64 , 33.98 , 4.59 , 3.87 , 1.22 , 1.70 
17,  Kentucky, 25.20 , 18.77 , 47.03 , 4.89 , 3.67 , 0.43 
18,  Louisiana, 16.58 , 8.23 , 52.96 , 7.31 , 4.70 , 10.22 
19,  Maine , 1.98 , 0.81 , 87.09 , 3.09 , 1.17 , 5.87 
20,  Maryland, 22.17 , 7.20 , 37.49 , 9.13 , 21.07 , 2.94 
21,  Massachusetts, 2.97 , 1.57 , 41.83 , 14.54 , 38.76 , 0.33 
22,  Michigan, 21.46 , 5.48 , 53.23 , 7.48 , 6.51 , 5.84 
23,  Minnesota  , 44.06 , 7.00 , 31.26 , 9.70 , 2.19 , 5.80 
24,  Mississippi, 17.23 , 9.04 , 64.92 , 3.44 , 2.43 , 2.94 
25,  Missouri, 35.52 , 22.26 , 34.29 , 4.70 , 3.06 , 0.18 
26,  Montana, 17.83 , 51.13 , 19.78 , 7.58 , 0.21 , 3.47 
27,  Nebraska, 44.45 , 48.16 , 2.99 , 3.18 , 0.70 , 0.52 
28,  Nevada, 0.82 , 74.48 , 7.71 , 16.05 , 0.74 , 0.20 
29,  New Hampshire, 1.63 , 2.03 , 75.76 , 10.56 , 7.39 , 2.63 
30,  New Jersey, 9.54 , 1.67 , 23.71 , 23.21 , 40.05 , 1.81 
31,  New Mexico, 2.51 , 70.00 , 17.10 , 8.74 , 0.69 , 0.95 
32,  New York, 14.08 , 7.95 , 52.78 , 13.52 , 8.75 , 2.92 
33,  North Carolina, 14.38 , 5.07 , 58.10 , 8.87 , 9.92 , 3.67 
34,  North Dakota, 61.41 , 30.20 , 1.17 , 3.84 , 0.28 , 3.10 
35,  Ohio, 41.41 , 8.20 , 30.07 , 4.90 , 11.03 , 4.39 
36,  Oklahoma, 25.72 , 45.00 , 17.44 , 3.99 , 1.95 , 5.91 
37,  Oregon, 7.59 , 38.84 , 39.26 , 6.76 , 1.17 , 6.38 
38,  Pennsylvania, 15.77 , 4.49 , 56.72 , 9.61 , 10.72 , 2.69 
39,  Rhode Island, 3.80 , 1.09 , 43.82 , 12.28 , 38.98 , 0.03 
40,  South Carolina, 9.89 , 5.07 , 67.70 , 5.19 , 8.27 , 3.87 
41,  South Dakota, 39.89 , 51.47 , 3.69 , 3.95 , 0.31 , 0.69 
42,  Tennessee, 19.93 , 12.98 , 51.15 , 7.65 , 7.28 , 1.01 
43,  Texas, 17.47 , 62.57 , 8.59 , 3.84 , 3.47 , 4.06 
44,  Utah, 2.81 , 62.32 , 18.65 , 11.50 , 1.17 , 3.56 
45,  Vermont, 6.99 , 5.18 , 75.88 , 8.44 , 1.71 , 1.80 
46,  Virginia, 11.83 , 11.05 , 60.87 , 7.09 , 6.90 , 2.25 
47,  Washington, 17.72 , 17.20 , 42.51 , 17.87 , 3.65 , 1.05 
48,  West Virginia, 5.07 , 8.78 , 76.57 , 6.78 , 2.73 , 0.06 
49,  Wisconsin, 29.06 , 8.26 , 48.26 , 6.76 , 3.56 , 4.10 
50,  Wyoming, 3.20 , 74.17 , 11.27 , 10.20 , 0.21 , 0.96 
